date,portfolio_value,benchmark_value,daily_return
2023-11-29,11454.4891,11056.4481,0.003182
2023-11-30,11569.2546,11174.6093,0.010019
2023-12-01,11549.1176,11174.6093,-0.001741
2023-12-04,11579.0692,11174.6093,0.002593
2023-12-05,11600.1619,11174.6093,0.001822
2023-12-06,11591.3114,11253.2894,-0.000763
2023-12-07,11683.1193,11320.2106,0.00792
2023-12-08,11707.6224,11359.6906,0.002097
2023-12-11,11677.8802,11358.851,-0.00254
2023-12-12,11706.1324,11403.6513,0.002419
2023-12-13,11791.5441,11395.5315,0.007296
2023-12-14,11854.1617,11474.7713,0.00531
2023-12-15,11832.8173,11479.8118,-0.001801
2023-12-18,11876.1485,11493.8117,0.003662
2023-12-19,11870.0328,11533.2917,-0.000515
2023-12-20,11886.9623,11444.8115,0.001426
2023-12-21,11912.7303,11487.0921,0.002168
2023-12-22,11951.4901,11487.0921,0.003254
2023-12-26,11967.0606,11445.9309,0.001303
2023-12-27,11965.2278,11491.0121,-0.000153
2023-12-28,11971.331,11516.4922,0.00051
2023-12-29,11912.4561,11510.3323,-0.004918
2024-01-02,11786.7884,11457.9718,-0.010549
2024-01-03,11828.179,11451.8109,0.003512
2024-01-04,11806.1057,11428.011,-0.001866
2024-01-05,11898.3369,11450.4117,0.007812
2024-01-08,11926.788,11534.692,0.002391
2024-01-09,11924.7083,11541.1317,-0.000174
2024-01-10,11869.0084,11493.5318,-0.004671
2024-01-11,11963.5061,11575.8521,0.007962
2024-01-12,11933.0617,11584.2529,-0.002545
2024-01-15,11906.4908,11614.7724,-0.002227
2024-01-16,11781.4079,11534.1323,-0.010505
2024-01-17,11912.462,11580.8926,0.011124
2024-01-18,11947.6395,11620.6524,0.002953
2024-01-19,12024.0753,11754.4937,0.006398
2024-01-22,12057.9252,11769.614,0.002815
2024-01-23,12162.474,11832.894,0.008671
2024-01-24,12183.4366,11884.1351,0.001724
2024-01-25,12144.7502,11893.6552,-0.003175
2024-01-26,12195.661,11943.495,0.004192
2024-01-29,12191.0616,11975.136,-0.000377
2024-01-30,12105.352,11906.2548,-0.007031
2024-01-31,12107.116,11856.695,0.000146
2024-02-01,12204.1847,12048.7757,0.008017
2024-02-02,12196.4709,12062.7766,-0.000632
2024-02-05,12263.2854,12092.4566,0.005478
2024-02-06,12296.1416,12145.0969,0.002679
2024-02-07,12301.6387,12150.1374,0.000447
2024-02-08,12319.9545,12169.4576,0.001489
2024-02-09,12456.6825,12272.4985,0.011098
2024-02-12,12280.8186,12152.6571,-0.014118
2024-02-13,12359.8318,12169.7375,0.006434
2024-02-14,12432.4677,12230.4977,0.005877
2024-02-15,12416.9764,12279.7777,-0.001246
2024-02-16,12392.3646,12255.9778,-0.001982
2024-02-19,12276.0461,12132.7772,-0.009386
2024-02-20,12255.7501,12119.0571,-0.001653
2024-02-21,12423.8233,12326.2582,0.013714
2024-02-22,12428.3885,12374.6987,0.000367
2024-02-23,12433.9759,12325.6985,0.00045
2024-02-26,12463.077,12309.7386,0.00234
2024-02-27,12428.8365,12315.3388,-0.002747
2024-02-28,12487.9376,12347.8183,0.004755
2024-02-29,12635.2134,12431.5389,0.011793
2024-03-01,12640.8751,12425.9387,0.000448
2024-03-04,12508.4673,12345.0187,-0.010475
2024-03-05,12588.3584,12394.2987,0.006387
2024-03-06,12736.7578,12445.5398,0.011789
2024-03-07,12680.985,12447.2189,-0.004379
2024-03-08,12640.3734,12366.2989,-0.003203
2024-03-11,12774.702,12467.9395,0.010627
2024-03-12,12773.5748,12473.5396,-8.8e-05
2024-03-13,12714.7585,12484.4601,-0.004605
2024-03-14,12627.5877,12405.4991,-0.006856
2024-03-15,12727.8826,12517.2195,0.007943
2024-03-18,12738.3599,12535.7002,0.000823
2024-03-19,12783.8338,12562.3007,0.00357
2024-03-20,12974.1075,12742.6214,0.014884
2024-03-21,12976.1856,12738.1417,0.00016
2024-03-22,12998.6994,12699.5012,0.001735
2024-03-25,13054.1861,12728.3416,0.004269
2024-03-26,13100.2277,12719.3811,0.003527
2024-03-27,13149.2087,12803.3827,0.003739
2024-03-28,13173.1305,12803.3827,0.001819
2024-04-01,13090.271,12697.2614,-0.00629
2024-04-02,13141.8761,12708.7416,0.003942
2024-04-03,13143.7227,12718.8214,0.000141
2024-04-04,13026.2253,12632.861,-0.008939
2024-04-05,13079.2967,12654.1412,0.004074
2024-04-08,13003.3055,12582.1806,-0.00581
2024-04-09,13003.3733,12640.1413,5e-06
2024-04-10,13006.5229,12661.1406,0.000242
2024-04-11,12976.2599,12720.5016,-0.002327
2024-04-12,12927.0387,12694.1809,-0.003793
2024-04-15,12773.2221,12490.62,-0.011899
2024-04-16,12727.7852,12423.419,-0.003557
2024-04-17,12700.4676,12455.3399,-0.002146
2024-04-18,12596.0144,12340.539,-0.008224
2024-04-19,12656.6802,12358.7388,0.004816
2024-04-22,12839.4584,12497.3396,0.014441
2024-04-23,12852.2278,12498.46,0.000995
2024-04-24,12755.1299,12347.8183,-0.007555
2024-04-25,12962.5346,12572.6605,0.01626
2024-04-26,13013.4199,12575.7399,0.003926
2024-04-29,12923.6609,12540.7396,-0.006897
2024-04-30,12902.2926,12540.7396,-0.001653
2024-05-01,12913.4807,12444.6992,0.000867
2024-05-02,13036.9946,12551.1004,0.009565
2024-05-03,13162.9533,12643.7804,0.009662
2024-05-06,13252.408,12732.5415,0.006796
2024-05-07,13211.991,12730.8613,-0.00305
2024-05-08,13283.3183,12759.7017,0.005399
2024-05-09,13319.2427,12801.1417,0.002704
2024-05-10,13335.6967,12784.0624,0.001235
2024-05-13,13404.029,12776.5023,0.005124
2024-05-14,13503.7862,12869.7431,0.007442
2024-05-15,13506.4678,12920.4234,0.000199
2024-05-16,13504.5532,12876.4626,-0.000142
2024-05-17,13596.4467,12951.7835,0.006805
2024-05-20,13570.1305,12922.3834,-0.001936
2024-05-21,13585.4322,12928.8231,0.001128
2024-05-22,13523.7461,12934.1434,-0.004541
2024-05-23,13535.9444,12885.1433,0.000902
2024-05-24,13591.5528,12913.7028,0.004108
2024-05-27,13567.9277,12865.2623,-0.001738
2024-05-28,13446.1958,12817.6624,-0.008972
2024-05-29,13409.6132,12774.5423,-0.002721
2024-05-30,13370.3402,12701.7411,-0.002929
2024-05-31,13428.8617,12798.622,0.004377
2024-06-03,13322.8367,12760.5424,-0.007895
2024-06-04,13495.8603,12918.4634,0.012987
2024-06-05,13522.3581,12961.5835,0.001963
2024-06-06,13516.2747,13030.1838,-0.00045
2024-06-07,13539.0687,13082.8241,0.001686
2024-06-10,13415.7552,13059.304,-0.009108
2024-06-11,13533.4756,13133.7843,0.008775
2024-06-12,13428.6019,13129.8643,-0.007749
2024-06-13,13387.1487,13169.0655,-0.003087
2024-06-14,13407.3989,13170.7446,0.001513
2024-06-17,13450.2758,13246.9061,0.003198
2024-06-18,13397.9168,13262.0254,-0.003893
2024-06-19,13462.8815,13315.7862,0.004849
2024-06-20,13417.5804,13270.1463,-0.003365
2024-06-21,13449.6098,13292.2661,0.002387
2024-06-24,13440.2491,13280.2262,-0.000696
2024-06-25,13414.2343,13283.0258,-0.001936
2024-06-26,13405.6663,13272.3862,-0.000639
2024-06-27,13451.259,13326.1459,0.003401
2024-06-28,13427.6169,13251.6657,-0.001758
2024-07-01,13458.6195,13276.3062,0.002309
2024-07-02,13576.1038,13313.5463,0.008729
2024-07-03,13649.5684,13341.826,0.005411
2024-07-04,13680.8751,13345.746,0.002294
2024-07-05,13702.1377,13371.2272,0.001554
