date,portfolio_value,benchmark_value,daily_return
2025-09-23,11241.437,10832.9119,-0.003476
2025-09-24,11207.3,10817.7404,-0.003037
2025-09-25,11265.5961,10828.8661,0.005202
2025-09-26,11321.419,10857.186,0.004955
2025-09-29,11323.1032,10842.0144,0.000149
2025-09-30,11477.3969,10926.9749,0.013626
2025-10-01,11554.0043,10965.9143,0.006675
2025-10-02,11595.0658,11011.4291,0.003554
2025-10-03,11648.3537,11048.8515,0.004596
2025-10-06,11625.8811,11026.5999,-0.001929
2025-10-07,11705.7823,11126.732,0.006873
2025-10-08,11729.6643,11135.8345,0.00204
2025-10-09,11573.0157,10915.3429,-0.013355
2025-10-10,11763.4931,10998.7863,0.016459
2025-10-13,11775.1282,10954.7886,0.000989
2025-10-14,11853.532,11013.4516,0.006658
2025-10-15,11799.7455,11004.3491,-0.004538
2025-10-16,11724.2283,10883.4834,-0.0064
2025-10-17,11876.4197,11075.1489,0.012981
2025-10-20,11831.9961,11121.1691,-0.00374
2025-10-21,11718.9524,11059.9773,-0.009554
2025-10-22,11788.2216,11103.975,0.005911
2025-10-23,11884.2115,11103.975,0.008143
2025-10-24,11910.9316,11264.2864,0.002248
2025-10-27,11958.8938,11285.5263,0.004027
2025-10-28,11991.027,11304.2375,0.002687
2025-10-29,11970.434,11318.3975,-0.001717
2025-10-30,11972.2382,11311.3175,0.000151
2025-10-31,11950.9915,11324.972,-0.001775
2025-11-03,11824.598,11281.4805,-0.010576
2025-11-04,11880.54,11301.2033,0.004731
2025-11-05,11759.0508,11132.8003,-0.010226
2025-11-06,11698.1253,10994.2342,-0.005181
2025-11-07,11837.8065,11218.2662,0.01194
2025-11-10,11884.1898,11262.2631,0.003918
2025-11-11,11968.1169,11323.4549,0.007062
2025-11-12,11811.2634,11166.1777,-0.013106
2025-11-13,11767.8654,11151.0061,-0.003674
2025-11-14,11699.465,11102.9633,-0.005812
2025-11-17,11590.2266,10953.2715,-0.009337
2025-11-18,11645.1272,10979.0634,0.004737
2025-11-19,11553.4075,11048.8515,-0.007876
2025-11-20,11515.4323,10950.7428,-0.003287
2025-11-21,11637.2669,11081.7234,0.01058
2025-11-24,11712.4808,11104.9859,0.006463
2025-11-25,11817.1109,11238.4945,0.008933
2025-11-26,11835.8095,11226.8632,0.001582
2025-11-27,11897.4252,11273.8943,0.005206
2025-11-28,11815.9608,11227.8749,-0.006847
2025-12-01,11877.5314,11235.4603,0.005211
2025-12-02,11942.5249,11230.4036,0.005472
2025-12-03,12009.6851,11261.2515,0.005624
2025-12-04,12027.6848,11299.6863,0.001499
2025-12-05,11978.1879,11279.9634,-0.004115
2025-12-08,11988.1831,11293.1117,0.000834
2025-12-09,12049.2259,11266.3089,0.005092
2025-12-10,12076.0791,11224.8407,0.002229
2025-12-11,11973.1469,11157.0744,-0.008524
2025-12-12,11926.6059,11171.2343,-0.003887
2025-12-15,11840.3513,11098.9175,-0.007232
2025-12-16,11762.5237,11051.3802,-0.006573
2025-12-17,11835.6502,11173.7631,0.006217
2025-12-18,11935.6794,11222.312,0.008452
2025-12-19,12004.0784,11243.5519,0.005731
2025-12-22,11988.1766,11268.8376,-0.001325
2025-12-23,12018.1258,11268.8376,0.002498
2025-12-24,12003.3693,11268.8376,-0.001228
2025-12-26,12009.5276,11284.5147,0.000513
2025-12-29,12012.7475,11305.2492,0.000268
2025-12-30,12033.2155,11305.2492,0.001704
2025-12-31,12156.1523,11259.2289,0.010216
2026-01-02,12331.1532,11403.3579,0.014396
2026-01-05,12429.5977,11440.7803,0.007983
2026-01-06,12435.5445,11477.1918,0.000478
2026-01-07,12438.1164,11454.9402,0.000207
2026-01-08,12561.1986,11549.5094,0.009896
2026-01-09,12622.8307,11547.4861,0.004907
2026-01-12,12601.6003,11565.1864,-0.001682
2026-01-13,12639.7158,11488.823,0.003025
2026-01-14,12678.0207,11626.3774,0.003031
2026-01-15,12705.1171,11610.7004,0.002137
2026-01-16,12622.4581,11441.7919,-0.006506
2026-01-19,12539.9191,11346.7174,-0.006539
2026-01-20,12577.2675,11352.7864,0.002978
2026-01-21,12695.1351,11429.6545,0.009371
2026-01-22,12686.5664,11410.4379,-0.000675
2026-01-23,12626.2508,11366.9464,-0.004754
2026-01-26,12663.1004,11351.7748,0.002918
2026-01-27,12677.9328,11360.8773,0.001171
2026-01-28,12598.3172,11269.3431,-0.00628
2026-01-29,12556.4714,11356.3261,-0.003322
2026-01-30,12618.0086,11473.6522,0.004901
2026-02-02,12674.666,11425.6087,0.00449
2026-02-03,12594.1773,11398.8059,-0.00635
2026-02-04,12389.1961,11284.0092,-0.016276
2026-02-05,12569.2701,11396.2779,0.014535
2026-02-06,12669.4343,11451.4006,0.007969
2026-02-09,12640.5443,11476.1802,-0.00228
2026-02-10,12658.4764,11470.1118,0.001419
2026-02-11,12503.5688,11367.4518,-0.012237
2026-02-12,12575.3027,11353.7973,0.005737
2026-02-13,12586.4134,11328.0062,0.000884
2026-02-16,12620.0701,11361.8889,0.002674
2026-02-17,12731.3301,11484.2718,0.008816
2026-02-18,12751.9642,11464.5489,0.001621
2026-02-19,12767.7555,11506.0179,0.001238
2026-02-20,12665.5067,11421.5637,-0.008008
2026-02-23,12798.2682,11472.1351,0.010482
2026-02-24,12885.6837,11557.6002,0.00683
2026-02-25,12839.7721,11533.8324,-0.003563
2026-02-26,12843.5821,11483.2609,0.000297
2026-02-27,12833.4903,11525.7407,-0.000786
2026-03-02,12572.6508,11390.2088,-0.020325
2026-03-03,12730.0852,11515.1204,0.012522
2026-03-04,12572.673,11459.9977,-0.012365
2026-03-05,12453.9221,11459.9977,-0.009445
2026-03-06,12501.3116,11278.9518,0.003805
2026-03-09,12604.3335,11432.6894,0.008241
2026-03-10,12582.0425,11392.2321,-0.001769
2026-03-11,12514.3885,11331.0403,-0.005377
2026-03-12,12470.1475,11314.8579,-0.003535
2026-03-13,12553.4617,11346.7174,0.006681
2026-03-16,12591.875,11372.5093,0.00306
2026-03-17,12430.8512,11299.6863,-0.012788
2026-03-18,12290.1875,11111.055,-0.011316
2026-03-19,12076.486,10996.763,-0.017388
2026-03-20,12141.2859,11040.2544,0.005366
2026-03-23,12154.2884,11036.7148,0.001071
2026-03-24,12290.6493,11144.4315,0.011219
2026-03-25,12161.5347,11026.5999,-0.010505
2026-03-26,12084.8139,10870.3343,-0.006308
2026-03-27,12127.2091,10944.169,0.003508
2026-03-30,12335.6736,10928.9974,0.01719
2026-03-31,12421.8741,11161.6264,0.006988
2026-04-01,12395.2476,11164.1544,-0.002144
2026-04-02,12449.8554,11164.1544,0.004406
2026-04-06,12346.4697,11097.9059,-0.008304
2026-04-07,12648.7009,11377.566,0.024479
2026-04-08,12649.9833,11397.2888,0.000101
2026-04-09,12621.6729,11424.0916,-0.002238
2026-04-10,12691.5374,11423.5862,0.005535
2026-04-13,12804.6542,11550.5203,0.008913
2026-04-14,12869.5641,11594.5179,0.005069
2026-04-15,12896.4666,11663.8006,0.00209
2026-04-16,13013.499,11803.3775,0.009075
2026-04-17,13003.3787,11752.8061,-0.000778
2026-04-20,12886.3864,11737.1291,-0.008997
2026-04-21,13015.9193,11789.7238,0.010052
2026-04-22,12991.01,11829.6749,-0.001914
2026-04-23,12958.6526,11805.9063,-0.002491
2026-04-24,12965.9609,11796.2976,0.000564
2026-04-27,12870.1908,11757.8635,-0.007386
2026-04-28,12860.8075,11766.966,-0.000729
2026-04-29,13084.067,11837.2611,0.01736
2026-04-30,13081.4615,11837.2611,-0.000199
2026-05-01,13027.1195,11874.178,-0.004154
2026-05-04,13109.3021,11959.1377,0.006309
2026-05-05,13320.1259,12093.658,0.016082
2026-05-06,13233.071,12096.1867,-0.006536
2026-05-07,13215.8825,12091.1292,-0.001299
2026-05-08,13260.16,12130.0695,0.00335
2026-05-11,13185.2353,12051.6836,-0.00565
2026-05-12,13234.7463,12180.1355,0.003755
2026-05-13,13321.7395,12339.4353,0.006573
2026-05-14,13154.3325,12244.3607,-0.012566
2026-05-15,13160.279,12178.6184,0.000452
2026-05-18,13083.6668,12166.481,-0.005821
2026-05-19,13252.3939,12274.1984,0.012896
2026-05-20,13320.6699,12290.8863,0.005152
2026-05-21,13414.4706,12425.4066,0.007042
2026-05-22,13472.1279,12491.1496,0.004298
2026-05-25,13466.2192,12452.2094,-0.000439
2026-05-26,13460.277,12421.867,-0.000441
2026-05-27,13537.1514,12458.2785,0.005711
2026-05-28,13516.193,12483.058,-0.001548
2026-05-29,13517.7889,12518.4579,0.000118
2026-06-01,13575.2388,12572.0643,0.00425
2026-06-02,13437.9318,12530.5953,-0.010115
2026-06-03,13539.4284,12532.6186,0.007553
2026-06-04,13319.2533,12474.461,-0.016262
2026-06-05,13331.474,12402.1442,0.000918
2026-06-08,13226.1502,12230.707,-0.0079
2026-06-09,13098.0846,12206.9383,-0.009683
2026-06-10,13260.7474,12226.6611,0.012419
2026-06-11,13377.3466,12430.4641,0.008793
2026-06-12,13497.5047,12569.0294,0.008982
2026-06-15,13454.536,12553.8585,-0.003183
2026-06-16,13386.8501,12562.961,-0.005031
2026-06-17,13489.2494,12606.4525,0.007649
2026-06-18,13516.7977,12623.1412,0.002042
2026-06-19,13560.2411,12648.9323,0.003214
2026-06-22,13434.5176,12539.6986,-0.009271
2026-06-23,13403.9023,12621.6241,-0.002279
2026-06-24,13441.5513,12551.3298,0.002809
2026-06-25,13468.2037,12516.4354,0.001983
2026-06-26,13499.4642,12530.0899,0.002321
2026-06-29,13563.243,12646.4044,0.004725
2026-06-30,13560.1523,12731.8695,-0.000228
2026-07-01,13692.8877,12673.2072,0.009789
2026-07-02,13729.9386,12719.7328,0.002706
2026-07-03,13697.5759,12779.4068,-0.002357
2026-07-06,13591.1984,12683.3213,-0.007766
2026-07-07,13453.1214,12592.2926,-0.010159
2026-07-08,13540.5084,12714.6754,0.006496
2026-07-09,13521.9158,12758.6723,-0.001373
2026-07-10,13508.7802,12774.3501,-0.000971
2026-07-13,13537.9659,12750.0753,0.002161
2026-07-14,13517.3642,12774.3501,-0.001522
2026-07-15,13471.4269,12769.7981,-0.003398
2026-07-16,13398.3228,12630.7266,-0.005427
2026-07-17,13410.0239,12667.1381,0.000873
2026-07-20,13563.1767,12716.6987,0.011421
2026-07-21,13577.8995,12744.0069,0.001085
2026-07-22,13467.429,12587.2351,-0.008136
2026-07-23,13497.27,12674.2181,0.002216
2026-07-24,13533.4834,12613.5325,0.002683
2026-07-27,13550.3967,12663.5985,0.00125
2026-07-28,13461.3563,12577.6272,-0.006571
2026-07-29,13534.0627,12506.8267,0.005401
2026-07-30,13499.6307,12571.0526,-0.002544
2026-07-31,13670.8525,12761.7072,0.012683
2026-08-03,13848.1079,12925.0528,0.012966
2026-08-04,13857.988,12970.5676,0.000713
2026-08-05,13859.2058,12961.4636,8.8e-05
2026-08-06,13999.6045,13012.035,0.01013
2026-08-07,14009.9246,13022.6561,0.000737
2026-08-10,14035.1405,13018.1049,0.0018
2026-08-11,14010.5608,13026.7012,-0.001751
2026-08-12,14064.7423,13087.3875,0.003867
2026-08-13,14050.4598,13033.7819,-0.001015
2026-08-14,13997.3975,13017.0925,-0.003777
2026-08-17,13911.4096,12888.6413,-0.006143
2026-08-18,14004.1299,12888.6413,0.006665
