ticker,earnings_date,surprise_pct,revenue_surprise_pct,same_day_return,predicted_return,reaction_gap,underreaction_flag,rev_beat,volume_confirmed,pead_setup_quality,direction,entry_date,sector,drift_window_days,drift_21d,drift_63d,outcome_label_correct,screened_at,regime_risk,regime_growth,regime_composite
AMGN,2026-03-31,8.04,,0.817,0.802,-0.015,False,False,True,Low,bullish,2026-04-02,Healthcare,30,-6.924,,False,2026-05-11T21:04:31.293034,Neutral,Slowdown,Neutral_Neutral_Slowdown
ASML.AS,2026-03-31,7.99,,0.647,,,False,False,True,Low,bullish,2026-04-02,Technology,45,12.652,,True,2026-05-11T21:04:33.244388,Neutral,Slowdown,Neutral_Neutral_Slowdown
JPM,2026-03-31,7.78,,3.661,1.592,-2.069,False,False,False,Low,bullish,2026-04-02,Financials,21,4.964,,True,2026-05-11T21:04:30.110381,Neutral,Slowdown,Neutral_Neutral_Slowdown
AXP,2026-03-31,7.18,,1.677,0.824,-0.853,False,False,False,Low,bullish,2026-04-02,Financials,21,6.34,,True,2026-05-11T21:04:30.692077,Neutral,Slowdown,Neutral_Neutral_Slowdown
GS,2026-03-31,7.06,,4.754,3.127,-1.627,False,False,True,Low,bullish,2026-04-02,Financials,21,4.661,,True,2026-05-11T21:04:30.378204,Neutral,Slowdown,Neutral_Neutral_Slowdown
V,2026-03-31,6.79,,0.901,1.44,0.539,False,False,False,Low,bullish,2026-04-02,Financials,21,8.66,,True,2026-05-11T21:04:29.981017,Neutral,Slowdown,Neutral_Neutral_Slowdown
GILD,2026-03-31,6.24,,2.222,0.228,-1.994,False,False,True,Low,bullish,2026-04-02,Healthcare,30,-5.025,,False,2026-05-11T21:04:31.383487,Neutral,Slowdown,Neutral_Neutral_Slowdown
KO,2026-03-31,5.88,,-0.288,0.136,0.424,False,False,False,Low,bullish,2026-04-02,Consumer Staples,21,1.916,,True,2026-05-11T21:04:31.710078,Neutral,Slowdown,Neutral_Neutral_Slowdown
AMD,2026-03-31,5.82,,3.77,0.539,-3.231,False,False,False,Low,bullish,2026-04-02,Technology,45,57.03,,True,2026-05-11T21:04:29.148352,Neutral,Slowdown,Neutral_Neutral_Slowdown
ORCL,2026-02-28,5.69,,2.648,0.787,-1.861,False,False,False,Low,bullish,2026-03-04,Technology,45,-3.931,,False,2026-05-11T21:04:29.550301,Neutral,Expansion,Neutral_Neutral_Expansion
PYPL,2026-03-31,5.59,,1.254,-0.73,-1.984,False,False,False,Low,bullish,2026-04-02,Financials,21,11.138,,True,2026-05-11T21:04:29.713505,Neutral,Slowdown,Neutral_Neutral_Slowdown
HON,2026-03-31,5.55,,1.141,0.726,-0.415,False,False,False,Low,bullish,2026-04-02,Industrials,30,-8.655,,False,2026-05-11T21:04:32.936441,Neutral,Slowdown,Neutral_Neutral_Slowdown
MSF.DE,2026-03-31,5.22,,-0.047,-1.137,-1.09,False,False,False,Low,bullish,2026-04-02,Technology,45,9.605,,True,2026-05-11T21:04:28.665774,Neutral,Slowdown,Neutral_Neutral_Slowdown
MSFT,2026-03-31,5.22,,3.123,,,False,False,False,Low,bullish,2026-04-02,Technology,45,10.753,,True,2026-05-11T21:04:29.059866,Neutral,Slowdown,Neutral_Neutral_Slowdown
UBER,2026-03-31,-81.78,,2.889,,,False,,False,Low,bearish,2026-04-02,Technology,45,2.909,,False,2026-05-11T21:04:29.632853,Neutral,Slowdown,Neutral_Neutral_Slowdown
NKE,2026-02-28,24.27,,-1.23,0.952,2.182,True,False,False,Medium,bullish,2026-03-04,Consumer Staples,21,-24.642,,False,2026-05-13T12:47:33.649431,Neutral,Expansion,Neutral_Neutral_Expansion
MRK,2026-03-31,13.15,,1.854,4.297,2.443,True,False,False,Medium,bullish,2026-04-02,Healthcare,30,-6.42,,False,2026-05-13T12:47:33.179057,Neutral,Slowdown,Neutral_Neutral_Slowdown
GOOGL,2026-03-31,91.59,,5.141,4.96,-0.181,False,False,False,Low,bullish,2026-04-02,Communication,30,29.577,,True,2026-05-13T12:47:30.749609,Neutral,Slowdown,Neutral_Neutral_Slowdown
BA,2026-03-31,70.26,,5.19,,,False,False,False,Low,bullish,2026-04-02,Industrials,30,6.282,,True,2026-05-13T12:47:33.892215,Neutral,Slowdown,Neutral_Neutral_Slowdown
AMZN,2026-03-31,68.18,,3.643,2.752,-0.891,False,False,False,Low,bullish,2026-04-02,Technology,45,29.69,,True,2026-05-13T12:47:30.667825,Neutral,Slowdown,Neutral_Neutral_Slowdown
META,2026-03-31,56.79,,6.665,3.818,-2.847,False,False,False,Low,bullish,2026-04-02,Communication,30,6.258,,True,2026-05-13T12:47:30.843583,Neutral,Slowdown,Neutral_Neutral_Slowdown
MU,2026-02-28,33.21,,0.073,1.595,1.522,False,False,False,Low,bullish,2026-03-04,Technology,45,-8.578,,False,2026-05-13T12:47:31.204939,Neutral,Expansion,Neutral_Neutral_Expansion
LLY,2026-03-31,25.9,,3.738,4.883,1.145,False,False,False,Low,bullish,2026-04-02,Healthcare,30,3.458,,True,2026-05-13T12:47:32.976118,Neutral,Slowdown,Neutral_Neutral_Slowdown
