Date,AAPL,ABBV,ADBE,ALV.DE,AMAT,AMD,AMGN,AMZN,APC.DE,ATAI,AXP,BA,BAC,BAYN.DE,BMW.DE,BRK-B,CAT,COST,CRM,GE,GILD,GOOGL,GS,HD,HON,INTC,JNJ,JPM,KO,LLY,LMT,MA,MCD,META,MRK,MS,MSF.DE,MSFT,MU,NFLX,NKE,NOW,NVDA,ORCL,PFE,PYPL,QCOM,RTX,SAP,SAP.DE,SBUX,SHOP,SIE.DE,SNOW,SPOT,TSLA,TXN,UBER,UNH,V,WMT
2025-12-05,278.5193786621094,222.4302215576172,346.260009765625,350.5678405761719,267.6661682128906,217.97000122070312,327.619873046875,229.52999877929688,239.63613891601562,4.320000171661377,368.3645935058594,201.88999938964844,53.646728515625,33.209842681884766,96.45999908447266,504.3399963378906,600.6185302734375,892.1648559570312,259.5010681152344,283.2030944824219,119.74458312988281,320.8341064453125,850.086181640625,352.25494384765625,190.38479614257812,41.40999984741211,200.8621826171875,312.0284729003906,69.52196502685547,1008.6265869140625,449.829345703125,543.7673950195312,309.5010681152344,672.2955932617188,98.14795684814453,174.60397338867188,411.14727783203125,482.0597229003906,237.02464294433594,100.23999786376953,65.42573547363281,170.8719940185547,182.40013122558594,216.25108337402344,25.601154327392578,62.092002868652344,173.69479370117188,170.53358459472656,243.03514099121094,209.6910858154297,84.5745849609375,161.0800018310547,228.59024047851562,228.7899932861328,564.9299926757812,455.0,180.4394073486328,91.31999969482422,326.1642761230469,330.558349609375,114.64055633544922
2025-12-08,277.6302185058594,219.51800537109375,339.1199951171875,353.34027099609375,267.82598876953125,221.11000061035156,319.01947021484375,226.88999938964844,238.187744140625,4.449999809265137,360.33782958984375,206.27000427246094,53.597007751464844,34.77037048339844,97.13999938964844,497.2300109863281,593.976806640625,885.0249633789062,258.46533203125,286.4446716308594,119.71495056152344,313.49932861328125,862.1527099609375,347.586181640625,191.04153442382812,40.29999923706055,200.5538330078125,312.1968078613281,69.770263671875,995.9277954101562,462.94024658203125,538.7036743164062,308.0690612792969,665.6866455078125,97.37040710449219,174.9205322265625,421.4696044921875,489.9018249511719,246.71664428710938,96.79000091552734,63.12103271484375,170.70399475097656,185.5399627685547,219.1929931640625,25.34543800354004,60.93550491333008,174.1916046142578,170.9521942138672,238.82827758789062,206.59365844726562,82.87554168701172,158.41000366210938,229.4715118408203,225.30999755859375,572.3499755859375,439.5799865722656,178.8578338623047,92.56999969482422,321.12347412109375,326.16741943359375,113.09687042236328
2025-12-09,276.9208679199219,219.39010620117188,344.32000732421875,363.9519348144531,266.8072509765625,221.6199951171875,311.69024658203125,227.9199981689453,238.3875274658203,4.389999866485596,361.9591064453125,200.3699951171875,53.23903274536133,36.20625686645508,97.41999816894531,491.42999267578125,591.8458251953125,885.9423828125,259.94921875,284.5695495605469,117.9072265625,316.85693359375,871.990966796875,342.97698974609375,189.2305145263672,40.5,198.90261840820312,297.6373596191406,69.6113510131836,980.5833740234375,464.44232177734375,535.8229370117188,309.0635070800781,655.8630981445312,95.36256408691406,176.89892578125,421.0706787109375,490.8995361328125,252.21212768554688,96.70999908447266,62.912418365478516,170.98199462890625,184.95999145507812,220.1769561767578,24.91268539428711,60.59653091430664,174.87721252441406,171.36082458496094,239.95863342285156,206.4953155517578,81.75277709960938,159.88999938964844,229.17776489257812,222.60000610351562,589.6699829101562,445.1700134277344,177.45416259765625,89.06999969482422,321.1036376953125,325.828125,114.59075927734375
2025-12-10,278.5193786621094,221.54473876953125,343.1300048828125,362.4223327636719,274.8072509765625,221.4199981689453,313.209716796875,231.77999877929688,238.78709411621094,4.329999923706055,373.5566101074219,198.72000122070312,53.775997161865234,36.5103874206543,95.66000366210938,490.42999267578125,612.7470092773438,871.9517822265625,263.1161804199219,282.8639831542969,119.86312103271484,319.9847412109375,884.5846557617188,348.7980651855469,191.11117553710938,40.779998779296875,205.44781494140625,307.1455383300781,69.73052978515625,991.984375,465.48681640625,537.1287231445312,308.804931640625,649.0444946289062,96.08106994628906,177.76942443847656,411.69580078125,477.4701843261719,263.4927978515625,92.70999908447266,65.35619354248047,170.71200561523438,183.77005004882812,221.64791870117188,25.35527229309082,60.97538375854492,181.047607421875,174.1416015625,241.67872619628906,207.42945861816406,83.3127212524414,168.4199981689453,226.7787628173828,216.5500030517578,609.4099731445312,451.45001220703125,179.5794219970703,84.16000366210938,325.83685302734375,325.0596923828125,112.71842956542969
2025-12-11,277.77008056640625,220.36412048339844,350.42999267578125,367.10675048828125,269.7735290527344,221.42999267578125,315.1959533691406,230.27999877929688,235.34088134765625,4.420000076293945,382.8266296386719,200.7100067138672,54.253299713134766,36.226200103759766,95.5,495.8500061035156,622.963623046875,881.9934692382812,261.2737731933594,287.6715087890625,121.71036529541016,312.210205078125,906.2606201171875,355.0860290527344,192.89234924316406,39.5099983215332,208.8994598388672,314.3460693359375,68.63804626464844,1007.6981201171875,472.39044189453125,561.5599975585938,307.9894714355469,651.6202392578125,97.44915771484375,178.3431396484375,407.5569152832031,482.3690185546875,258.24713134765625,94.08999633789062,67.2933349609375,173.4980010986328,180.92019653320312,197.635498046875,25.374942779541016,61.5037841796875,180.1136016845703,176.83265686035156,243.1629180908203,205.8070068359375,84.19701385498047,164.75,233.87783813476562,220.50999450683594,598.8699951171875,446.8900146484375,179.5794219970703,85.44000244140625,334.1323547363281,344.91876220703125,115.04888153076172
2025-12-12,278.0198669433594,219.71478271484375,356.42999267578125,363.6651306152344,258.8871154785156,210.77999877929688,315.553466796875,226.19000244140625,235.34088134765625,4.289999961853027,380.5091247558594,204.3800048828125,54.83003616333008,36.395713806152344,96.13999938964844,499.5199890136719,595.3609008789062,881.9834594726562,261.154296875,299.03192138671875,118.93456268310547,309.07244873046875,883.3114013671875,357.261474609375,192.70327758789062,37.810001373291016,210.46116638183594,315.47515869140625,70.03841400146484,1025.7979736328125,477.7322692871094,570.092529296875,314.9605407714844,643.1543579101562,98.71881866455078,176.48345947265625,406.0110778808594,477.4402770996094,240.94140625,95.19000244140625,67.0251235961914,173.01199340820312,175.01052856445312,188.80972290039062,25.42411994934082,61.473876953125,177.152587890625,178.0685577392578,240.64666748046875,204.72535705566406,84.80310821533203,164.19000244140625,233.87783813476562,217.92999267578125,597.7999877929688,458.9599914550781,177.35533142089844,85.11000061035156,339.20294189453125,347.11419677734375,116.46098327636719
2025-12-15,273.8537292480469,223.77810668945312,351.1499938964844,363.6651306152344,260.9445495605469,207.5800018310547,323.0713806152344,222.5399932861328,235.34088134765625,4.139999866485596,380.5190734863281,205.5,55.01897048950195,35.89714431762695,96.13999938964844,506.3800048828125,587.2653198242188,858.1407470703125,253.53564453125,300.1988830566406,119.10359954833984,308.003173828125,884.932861328125,354.619140625,196.47454833984375,37.5099983215332,213.03746032714844,316.9608459472656,70.48534393310547,1060.4200439453125,481.88043212890625,567.301513671875,316.95941162109375,646.9561157226562,99.52285766601562,175.87014770507812,402.7697448730469,473.73870849609375,237.3043975830078,93.7699966430664,67.33307647705078,153.0399932861328,176.28045654296875,183.79055786132812,25.994564056396484,60.55665588378906,178.1164093017578,181.50714111328125,240.31248474121094,204.72535705566406,84.85279083251953,159.85000610351562,233.87783813476562,215.27999877929688,577.1500244140625,475.30999755859375,175.92201232910156,81.86000061035156,338.4686584472656,346.1761779785156,116.5508041381836
2025-12-16,274.353271484375,220.0591278076172,347.8900146484375,366.4375305175781,258.517578125,209.1699981689453,324.4915466308594,222.55999755859375,231.94461059570312,4.230000019073486,378.7088317871094,206.7100067138672,54.50189208984375,34.95484161376953,94.26000213623047,499.8399963378906,586.4388427734375,857.9712524414062,253.86428833007812,297.9547119140625,118.10924530029297,306.3543395996094,874.5474853515625,350.3377685546875,197.28054809570312,37.310001373291016,208.19322204589844,312.5335388183594,69.88944244384766,1052.5333251953125,474.5589904785156,564.2015380859375,312.7528991699219,656.587890625,97.5474853515625,174.60397338867188,401.5231018066406,475.3051452636719,232.31849670410156,94.56999969482422,66.67742919921875,156.2239990234375,177.71038818359375,187.49777221679688,25.109392166137695,61.144874572753906,174.99644470214844,179.3343505859375,239.4966583251953,203.2012176513672,84.53484344482422,163.13999938964844,232.55593872070312,220.60000610351562,579.0700073242188,489.8800048828125,175.5167236328125,80.91999816894531,331.62188720703125,344.3998107910156,115.18360900878906
2025-12-17,271.58587646484375,220.68878173828125,354.6600036621094,366.4375305175781,247.96075439453125,198.11000061035156,323.7665710449219,221.27000427246094,231.94461059570312,4.059999942779541,373.5963439941406,206.3300018310547,54.24335479736328,34.95484161376953,94.26000213623047,504.2699890136719,559.5132446289062,860.2249145507812,257.0810546875,291.4217224121094,120.6746826171875,296.5112609863281,867.76318359375,354.3807373046875,198.90249633789062,36.04999923706055,209.2177734375,311.9690246582031,70.18739318847656,1040.05419921875,472.3009033203125,563.6531982421875,316.91961669921875,648.9443969726562,98.45079803466797,172.91244506835938,404.51507568359375,475.0357360839844,225.3342742919922,94.79000091552734,65.2568588256836,156.47799682617188,170.93075561523438,177.37002563476562,24.627464294433594,59.99834442138672,171.2405548095703,176.61338806152344,237.29493713378906,203.2012176513672,84.66400909423828,161.72999572753906,232.55593872070312,216.2899932861328,566.22998046875,467.260009765625,172.4820556640625,79.13999938964844,329.07171630859375,343.7012634277344,115.42312622070312
2025-12-18,271.935546875,219.2228546142578,355.80999755859375,366.4375305175781,253.18423461914062,201.05999755859375,322.1875305175781,226.75999450683594,231.94461059570312,3.9100000858306885,373.5068664550781,208.27000427246094,53.95498275756836,34.95484161376953,94.26000213623047,503.3900146484375,563.4365234375,855.1790771484375,257.20672607421875,300.90704345703125,120.7840576171875,302.2472229003906,871.71240234375,352.6324157714844,197.1014404296875,36.279998779296875,207.2084503173828,310.0079345703125,69.87950897216797,1055.1190185546875,467.67529296875,564.390869140625,317.874267578125,663.881591796875,99.94969940185547,171.09231567382812,404.51507568359375,482.87786865234375,248.34530639648438,94.0,65.19725036621094,153.3800048828125,174.1305694580078,178.930419921875,24.627464294433594,59.26057434082031,173.07876586914062,177.69976806640625,240.1355438232422,203.2012176513672,88.84703063964844,166.8000030517578,232.55593872070312,221.30999755859375,563.8200073242188,483.3699951171875,174.16249084472656,79.69000244140625,325.608642578125,345.2979736328125,114.59481811523438
2025-12-19,273.4141845703125,223.1582794189453,355.8599853515625,372.36480712890625,256.0906066894531,213.42999267578125,325.12713623046875,227.35000610351562,231.4951171875,3.9600000381469727,374.4915466308594,214.0800018310547,54.95930862426758,35.77748489379883,93.62000274658203,494.5299987792969,573.7825927734375,853.214599609375,259.2615966796875,306.4126892089844,123.588134765625,306.9439392089844,888.8024291992188,342.7087707519531,198.12635803222656,36.81999969482422,205.27871704101562,314.17767333984375,69.58155822753906,1069.6546630859375,471.6443786621094,570.3915405273438,314.08544921875,658.2064819335938,100.34675598144531,175.0688934326172,413.1419372558594,484.8134460449219,265.7010192871094,94.38999938964844,58.322879791259766,155.30999755859375,180.98020935058594,190.79751586914062,24.774993896484375,59.62946319580078,174.13198852539062,181.40745544433594,240.15521240234375,205.3153533935547,87.7640151977539,169.57000732421875,231.087158203125,222.4600067138672,582.1599731445312,481.20001220703125,174.26133728027344,79.30999755859375,324.8941955566406,348.5312805175781,114.12578582763672
2025-12-22,270.7166748046875,224.23068237304688,357.5299987792969,373.2251892089844,258.6873779296875,214.9499969482422,329.10955810546875,228.42999267578125,231.3452911376953,4.300000190734863,378.80828857421875,216.83999633789062,55.565879821777344,35.353702545166016,92.86000061035156,499.95001220703125,579.9463500976562,847.6104736328125,263.9698181152344,313.9132080078125,123.45886993408203,309.56207275390625,894.2935791015625,344.0895690917969,194.99192810058594,36.369998931884766,206.22369384765625,320.00146484375,69.73052978515625,1074.686279296875,481.0348815917969,573.8504028320312,314.46331787109375,660.9341430664062,103.95006561279297,177.81887817382812,412.3440856933594,483.81573486328125,276.3622131347656,93.2300033569336,56.84270477294922,156.67999267578125,183.6800537109375,197.16836547851562,24.794662475585938,59.6793098449707,173.1085662841797,185.0653076171875,241.108642578125,205.06951904296875,85.61785125732422,169.6699981689453,231.7236328125,226.83999633789062,578.7999877929688,488.7300109863281,176.76222229003906,81.26000213623047,322.651611328125,351.3654479980469,112.369384765625
2025-12-23,272.1053771972656,225.09646606445312,352.4200134277344,373.7987976074219,259.9058532714844,214.89999389648438,329.2088623046875,232.13999938964844,230.79588317871094,4.329999923706055,380.14111328125,216.85000610351562,55.655372619628906,35.83731460571289,92.66000366210938,500.510009765625,579.9563598632812,852.386962890625,262.7727966308594,314.71112060546875,124.4830551147461,314.1288757324219,896.9893798828125,342.6789855957031,194.53419494628906,36.349998474121094,204.69183349609375,322.8143310546875,69.39286041259766,1069.8543701171875,480.02020263671875,574.498291015625,309.11322021484375,664.3711547851562,104.26771545410156,177.56167602539062,412.9923400878906,485.7413330078125,276.04248046875,93.5,56.9619140625,154.36000061035156,189.19976806640625,194.14691162109375,24.4700984954834,59.23066711425781,173.6351776123047,185.14505004882812,240.7744598388672,204.23370361328125,83.3226547241211,169.52999877929688,232.84970092773438,225.10000610351562,579.3900146484375,485.55999755859375,175.04225158691406,80.97000122070312,322.29437255859375,352.6528015136719,110.67286682128906
2025-12-24,273.55401611328125,226.17872619628906,352.9800109863281,,260.4551696777344,215.0399932861328,331.661865234375,232.3800048828125,,4.190000057220459,381.05615234375,218.16000366210938,55.93379592895508,,,501.3399963378906,581.2907104492188,869.4089965820312,264.5982666015625,315.9279479980469,124.96034240722656,313.8690490722656,906.0119018554688,345.0332336425781,195.95712280273438,36.15999984741211,206.68125915527344,326.02337646484375,69.63121795654297,1075.1854248046875,483.20343017578125,577.5883178710938,311.5893859863281,666.9789428710938,105.66734313964844,179.68846130371094,,486.90863037109375,286.4438781738281,93.63999938964844,59.604373931884766,152.58999633789062,188.59979248046875,196.28379821777344,24.617630004882812,59.858768463134766,173.65505981445312,185.76300048828125,241.4035186767578,,84.02810668945312,169.4499969482422,,221.92999267578125,586.5700073242188,485.3999938964844,175.0916748046875,81.1500015258789,325.05291748046875,354.4091796875,111.38141632080078
2025-12-26,273.1444091796875,226.26724243164062,353.79998779296875,,261.5737609863281,214.99000549316406,330.6389465332031,232.52000427246094,,4.070000171661377,379.0072021484375,216.44000244140625,55.854244232177734,,,498.29998779296875,580.533935546875,870.894775390625,265.4161682128906,314.3221435546875,123.99581909179688,313.2894592285156,902.2914428710938,347.45703125,196.3949432373047,36.20000076293945,206.5320587158203,324.7754211425781,69.39286041259766,1075.9542236328125,480.4977111816406,577.7378540039062,308.9541015625,662.7225952148438,105.99491882324219,179.90609741210938,,486.599365234375,284.5554504394531,94.47000122070312,60.52824401855469,153.88999938964844,190.51968383789062,196.78074645996094,24.676639556884766,59.788978576660156,173.69479370117188,184.5570068359375,242.34710693359375,,84.53484344482422,170.8300018310547,,223.8800048828125,584.3499755859375,475.19000244140625,174.8445587158203,81.26000213623047,329.2701416015625,354.26947021484375,111.51114654541016
2025-12-29,273.50408935546875,227.11337280273438,353.1600036621094,371.6955871582031,262.7223205566406,215.61000061035156,327.3616638183594,232.07000732421875,231.99456787109375,4.0,373.30792236328125,217.25,55.038856506347656,36.31095886230469,93.54000091552734,501.04998779296875,576.1624755859375,865.4003295898438,265.5658264160156,311.12677001953125,124.20463562011719,313.33941650390625,887.50927734375,345.14251708984375,196.1163330078125,36.68000030517578,206.46241760253906,320.6551818847656,69.68087768554688,1076.9324951171875,486.30706787109375,576.0433349609375,306.8160400390625,658.1265258789062,105.83609771728516,177.99693298339844,411.7955322265625,485.9907531738281,294.24639892578125,94.1500015258789,60.806396484375,154.5800018310547,188.20980834960938,194.18667602539062,24.588123321533203,59.310428619384766,172.32359313964844,183.8094940185547,241.8359832763672,204.97119140625,85.02169799804688,167.8800048828125,232.1153106689453,222.89999389648438,581.1900024414062,459.6400146484375,173.66824340820312,81.5,326.4024353027344,353.8802490234375,112.29953002929688
2025-12-30,272.82470703125,226.03114318847656,352.510009765625,373.32080078125,259.64617919921875,215.33999633789062,326.4281311035156,232.52999877929688,232.1943359375,3.9800000190734863,371.3883056640625,218.5,54.9692497253418,36.90425491333008,93.13999938964844,503.7099914550781,574.9476318359375,863.2164916992188,265.2566223144531,311.33648681640625,122.48440551757812,313.6292419433594,879.7898559570312,344.0498352050781,195.3899383544922,37.29999923706055,205.81585693359375,320.3283386230469,69.59149169921875,1077.950927734375,485.441650390625,575.5648193359375,306.3188171386719,665.3803100585938,105.28021240234375,177.14622497558594,412.1944580078125,486.3699035644531,292.5071105957031,93.77999877929688,60.78652572631836,154.22999572753906,187.52984619140625,196.00550842285156,24.57828712463379,58.921600341796875,172.5421905517578,183.4008331298828,240.4107666015625,204.87286376953125,84.70375061035156,163.74000549316406,234.1715850830078,222.0500030517578,576.6799926757812,454.42999267578125,173.40135192871094,82.12000274658203,329.5976257324219,352.8923034667969,111.69078063964844
2025-12-31,271.6058349609375,224.8013153076172,349.989990234375,,256.6698913574219,214.16000366210938,325.0576171875,230.82000732421875,,4.090000152587891,367.96673583984375,217.1199951171875,54.69082260131836,,,502.6499938964844,570.44677734375,859.915771484375,264.2491149902344,307.5819396972656,122.04688262939453,312.7798156738281,874.3982543945312,341.81475830078125,194.12620544433594,36.900001525878906,205.85565185546875,319.1398010253906,69.43258666992188,1072.889404296875,481.1343688964844,569.0458984375,303.9321594238281,659.5253295898438,104.48609924316406,175.6129608154297,,482.5186767578125,285.2901611328125,93.76000213623047,63.28990936279297,153.19000244140625,186.4899139404297,193.71954345703125,24.489770889282227,58.20377731323242,169.9587860107422,182.79286193847656,238.7594757080078,,83.67041015625,160.97000122070312,,219.36000061035156,580.7100219726562,449.7200012207031,171.49356079101562,81.70999908447266,327.56341552734375,349.98828125,111.18183135986328
